# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10
BLANK_GEOMS,13
# Name, xLoc, yLoc, zLoc, Mass, GeomID
Passengers,3.215000,0.000000,0.000000,500.000000,AYWKAIHEMY
MotorPropMidRR,5.200000,2.000000,0.600000,25.000000,RVGMNNVEIN
MotorPropMidFL,3.300000,-2.000000,0.600000,25.000000,SVDMEUOLQT
MotorPropMidRL,5.200000,-2.000000,0.600000,25.000000,WTFHNONIYQ
MotorPropMidFR,3.300000,2.000000,0.600000,25.000000,LIQYEGAXES
MotorPropTopR,7.100000,2.220000,1.800000,25.000000,QHKNXKXYIH
MotorPropTopL,7.100000,-2.220000,1.800000,25.000000,CPGHMUORIS
MotorPropBotL,1.600000,-1.500000,-0.300000,25.000000,CUUGEGHWTD
MotorPropBotR,1.600000,1.500000,-0.300000,25.000000,WWAQPXKQHQ
Turbogenerator,4.500000,0.000000,-0.100000,66.300000,CLEWADNDXR
Batteries,1.800000,0.000000,-0.500000,297.000000,ZWZRLDGEMK
R_FW_Motor,4.200000,5.200000,1.750000,25.000000,CTLRMAWIYV
L_FW_Motor,4.200000,-5.200000,1.750000,25.000000,WDUVDRNYQD
# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,COBWICBHMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,43,17
# x,y,z,u,w
4.434629861096042042e-02, 0.000000000000000000e+00, -4.091390731313088169e-01, 2.142857142857142738e-01, 1.000000000000000000e+00
7.592680645548874341e-02, -1.171045358459019969e-01, -3.789716108629247460e-01, 2.142857142857142738e-01, 1.250000000000000000e+00
1.534783661962602352e-01, -1.968618330111473469e-01, -2.945975843213421985e-01, 2.142857142857142738e-01, 1.500000000000000000e+00
2.512160321440551347e-01, -2.424128452349043061e-01, -1.652095339019157283e-01, 2.142857142857142738e-01, 1.750000000000000000e+00
3.433548586096535349e-01, -2.568985262563414640e-01, -2.937397652616120467e-17, 2.142857142857142738e-01, 2.000000000000000000e+00
4.093405307657383418e-01, -2.422942882198501624e-01, 1.496751011489690364e-01, 2.142857142857142738e-01, 2.250000000000000000e+00
4.495412572326031864e-01, -1.965456809710027786e-01, 2.448873995119129066e-01, 2.142857142857142738e-01, 2.500000000000000000e+00
4.695558774924447620e-01, -1.167488648007393992e-01, 2.950856739970129095e-01, 2.142857142857142738e-01, 2.750000000000000000e+00
4.749832310274593739e-01, -4.314302802279926743e-17, 3.097187035124504551e-01, 2.142857142857142738e-01, 3.000000000000000000e+00
4.695558774924447620e-01, 1.167488648007392882e-01, 2.950856739970129095e-01, 2.142857142857142738e-01, 3.250000000000000000e+00
4.495412572326032974e-01, 1.965456809710026953e-01, 2.448873995119129066e-01, 2.142857142857142738e-01, 3.500000000000000000e+00
4.093405307657383418e-01, 2.422942882198501069e-01, 1.496751011489690919e-01, 2.142857142857142738e-01, 3.750000000000000000e+00
3.433548586096536459e-01, 2.568985262563415195e-01, 0.000000000000000000e+00, 2.142857142857142738e-01, 4.000000000000000000e+00
4.958596294343740052e-01, 3.263524548616569820e-01, 0.000000000000000000e+00, 2.857142857142856984e-01, 0.000000000000000000e+00
3.943292421444584694e-01, 3.110528235708172051e-01, -2.145084613469133150e-01, 2.857142857142856984e-01, 2.500000000000000000e-01
